No	FILE	CHROM	POP	DATASET	Watterson	Pi	Tajima_D	pn_ps
20	PoolSNP_2020.08.22	X	AT_Mau_14_02	Europe_PoolSNP	0.003362	0.00345	0.164692	0.322858995
21	PoolSNP_2020.08.22	2L	AT_Mau_15_50	Europe_PoolSNP	0.006204	0.006375	0.108357	0.415328014
22	PoolSNP_2020.08.22	2R	AT_Mau_15_50	Europe_PoolSNP	0.005042	0.005265	0.172069	0.394405433
23	PoolSNP_2020.08.22	3L	AT_Mau_15_50	Europe_PoolSNP	0.004857	0.005096	0.193506	0.422564475
24	PoolSNP_2020.08.22	3R	AT_Mau_15_50	Europe_PoolSNP	0.00424	0.004304	0.05848	0.454454853
25	PoolSNP_2020.08.22	X	AT_Mau_15_50	Europe_PoolSNP	0.003246	0.003464	0.30633	0.339958572
26	PoolSNP_2020.08.22	2L	AT_Mau_15_51	Europe_PoolSNP	0.006392	0.006667	0.172796	0.412402681
27	PoolSNP_2020.08.22	2R	AT_Mau_15_51	Europe_PoolSNP	0.005117	0.005316	0.154261	0.398664868
28	PoolSNP_2020.08.22	3L	AT_Mau_15_51	Europe_PoolSNP	0.004898	0.005115	0.178024	0.420845574
29	PoolSNP_2020.08.22	3R	AT_Mau_15_51	Europe_PoolSNP	0.004321	0.004317	-0.003604	0.458653026
30	PoolSNP_2020.08.22	X	AT_Mau_15_51	Europe_PoolSNP	0.003199	0.003409	0.308363	0.331876228
31	PoolSNP_2020.08.22	2L	AT_See_14_44	Europe_PoolSNP	0.006864	0.006897	0.021653	0.40665951
32	PoolSNP_2020.08.22	2R	AT_See_14_44	Europe_PoolSNP	0.005175	0.005191	0.013096	0.414846217
33	PoolSNP_2020.08.22	3L	AT_See_14_44	Europe_PoolSNP	0.005369	0.005335	-0.028588	0.422835357
34	PoolSNP_2020.08.22	3R	AT_See_14_44	Europe_PoolSNP	0.004854	0.004651	-0.187237	0.472361708
35	PoolSNP_2020.08.22	X	AT_See_14_44	Europe_PoolSNP	0.003391	0.0035	0.194107	0.325001242
36	PoolSNP_2020.08.22	2L	AT_See_16_1	Europe_PoolSNP	0.006645	0.006717	0.044551	0.383718839
37	PoolSNP_2020.08.22	2R	AT_See_16_1	Europe_PoolSNP	0.005319	0.005315	-0.003319	0.38095429
38	PoolSNP_2020.08.22	3L	AT_See_16_1	Europe_PoolSNP	0.005178	0.005222	0.035139	0.388925096
39	PoolSNP_2020.08.22	3R	AT_See_16_1	Europe_PoolSNP	0.004905	0.004839	-0.055341	0.425197915
40	PoolSNP_2020.08.22	X	AT_See_16_1	Europe_PoolSNP	0.003471	0.003575	0.148289	0.319001624
46	PoolSNP_2020.08.22	2L	BY_Bre_15_13	Europe_PoolSNP	0.006013	0.006076	0.043304	0.403007228
47	PoolSNP_2020.08.22	2R	BY_Bre_15_13	Europe_PoolSNP	0.004715	0.004969	0.219804	0.38629162
48	PoolSNP_2020.08.22	3L	BY_Bre_15_13	Europe_PoolSNP	0.004842	0.005108	0.228554	0.40935798
49	PoolSNP_2020.08.22	3R	BY_Bre_15_13	Europe_PoolSNP	0.004143	0.004222	0.078355	0.445037353
50	PoolSNP_2020.08.22	X	BY_Bre_15_13	Europe_PoolSNP	0.003207	0.003441	0.364752	0.332482355
51	PoolSNP_2020.08.22	2L	CA_es_12_fall	North America_PoolSNP	0.006188	0.006171	-0.011816	0.369859631
52	PoolSNP_2020.08.22	2R	CA_es_12_fall	North America_PoolSNP	0.005494	0.005516	0.018442	0.368984063
53	PoolSNP_2020.08.22	3L	CA_es_12_fall	North America_PoolSNP	0.005529	0.005518	-0.009178	0.375969151
54	PoolSNP_2020.08.22	3R	CA_es_12_fall	North America_PoolSNP	0.004708	0.004638	-0.06689	0.411101038
55	PoolSNP_2020.08.22	X	CA_es_12_fall	North America_PoolSNP	0.003736	0.003797	0.097479	0.302874916
56	PoolSNP_2020.08.22	2L	CA_es_12_frost	North America_PoolSNP	0.006422	0.006375	-0.033868	0.371067355
57	PoolSNP_2020.08.22	2R	CA_es_12_frost	North America_PoolSNP	0.005493	0.00552	0.022677	0.372955545
58	PoolSNP_2020.08.22	3L	CA_es_12_frost	North America_PoolSNP	0.005671	0.005661	-0.007817	0.380708519
59	PoolSNP_2020.08.22	3R	CA_es_12_frost	North America_PoolSNP	0.004751	0.004698	-0.051122	0.415786858
60	PoolSNP_2020.08.22	X	CA_es_12_frost	North America_PoolSNP	0.003816	0.003863	0.079977	0.306708998
61	PoolSNP_2020.08.22	2L	CA_es_12_spring	North America_PoolSNP	0.006415	0.006353	-0.041393	0.368323117
62	PoolSNP_2020.08.22	2R	CA_es_12_spring	North America_PoolSNP	0.005585	0.005567	-0.014283	0.369091085
63	PoolSNP_2020.08.22	3L	CA_es_12_spring	North America_PoolSNP	0.005644	0.005605	-0.029271	0.377668806
64	PoolSNP_2020.08.22	3R	CA_es_12_spring	North America_PoolSNP	0.004821	0.004707	-0.101814	0.411957186
65	PoolSNP_2020.08.22	X	CA_es_12_spring	North America_PoolSNP	0.00377	0.0038125	0.062709	0.313306894
66	PoolSNP_2020.08.22	2L	CA_es_13_fall	North America_PoolSNP	0.006506	0.006366	-0.089881	0.384102652
67	PoolSNP_2020.08.22	2R	CA_es_13_fall	North America_PoolSNP	0.005645	0.005597	-0.036609	0.379854079
68	PoolSNP_2020.08.22	3L	CA_es_13_fall	North America_PoolSNP	0.005788	0.005686	-0.073469	0.392505043
69	PoolSNP_2020.08.22	3R	CA_es_13_fall	North America_PoolSNP	0.004991	0.004829	-0.137458	0.424905564
70	PoolSNP_2020.08.22	X	CA_es_13_fall	North America_PoolSNP	0.0038175	0.00384	0.0309735	0.318595991
71	PoolSNP_2020.08.22	2L	CA_es_13_spring	North America_PoolSNP	0.006343	0.006295	-0.032661	0.3720204
72	PoolSNP_2020.08.22	2R	CA_es_13_spring	North America_PoolSNP	0.005482	0.005512	0.023696	0.37161555
73	PoolSNP_2020.08.22	3L	CA_es_13_spring	North America_PoolSNP	0.005564	0.005563	-0.000802	0.380449598
74	PoolSNP_2020.08.22	3R	CA_es_13_spring	North America_PoolSNP	0.004834	0.004723	-0.100025	0.421370691
75	PoolSNP_2020.08.22	X	CA_es_13_spring	North America_PoolSNP	0.003749	0.003828	0.119152	0.312601825
76	PoolSNP_2020.08.22	2L	CA_pl_12_fall	North America_PoolSNP	0.006342	0.006184	-0.095393	0.393026762
77	PoolSNP_2020.08.22	2R	CA_pl_12_fall	North America_PoolSNP	0.005508	0.005457	-0.035657	0.395416509
78	PoolSNP_2020.08.22	3L	CA_pl_12_fall	North America_PoolSNP	0.005606	0.005517	-0.061042	0.402326121
79	PoolSNP_2020.08.22	3R	CA_pl_12_fall	North America_PoolSNP	0.004739	0.004598	-0.115284	0.43910324
80	PoolSNP_2020.08.22	X	CA_pl_12_fall	North America_PoolSNP	0.003746	0.003802	0.067818	0.323803121
81	PoolSNP_2020.08.22	2L	CA_pl_12_frost	North America_PoolSNP	0.006286	0.006263	-0.016722	0.373395262
82	PoolSNP_2020.08.22	2R	CA_pl_12_frost	North America_PoolSNP	0.005624	0.00561	-0.011732	0.370215687
83	PoolSNP_2020.08.22	3L	CA_pl_12_frost	North America_PoolSNP	0.005643	0.005635	-0.006027	0.38137642
84	PoolSNP_2020.08.22	3R	CA_pl_12_frost	North America_PoolSNP	0.00476	0.004711	-0.046255	0.418093253
85	PoolSNP_2020.08.22	X	CA_pl_12_frost	North America_PoolSNP	0.003845	0.003895	0.082748	0.308691921
86	PoolSNP_2020.08.22	2L	CA_pl_13_fall	North America_PoolSNP	0.006572	0.006448	-0.078381	0.385679661
87	PoolSNP_2020.08.22	2R	CA_pl_13_fall	North America_PoolSNP	0.005652	0.005605	-0.034694	0.380560634
88	PoolSNP_2020.08.22	3L	CA_pl_13_fall	North America_PoolSNP	0.005707	0.005656	-0.037061	0.392770632
89	PoolSNP_2020.08.22	3R	CA_pl_13_fall	North America_PoolSNP	0.004929	0.004776	-0.130272	0.429677373
90	PoolSNP_2020.08.22	X	CA_pl_13_fall	North America_PoolSNP	0.003796	0.003862	0.091063	0.313376668
91	PoolSNP_2020.08.22	2L	CA_pl_13_frost	North America_PoolSNP	0.00642	0.006372	-0.03222	0.374336141
92	PoolSNP_2020.08.22	2R	CA_pl_13_frost	North America_PoolSNP	0.005535	0.005556	0.016398	0.374035302
93	PoolSNP_2020.08.22	3L	CA_pl_13_frost	North America_PoolSNP	0.005609	0.005606	-0.002509	0.382232589
94	PoolSNP_2020.08.22	3R	CA_pl_13_frost	North America_PoolSNP	0.004841	0.004744	-0.086231	0.418360453
95	PoolSNP_2020.08.22	X	CA_pl_13_frost	North America_PoolSNP	0.003784	0.003871	0.129016	0.320486653
96	PoolSNP_2020.08.22	2L	CA_st_12_fall	North America_PoolSNP	0.006068	0.006047	-0.015914	0.368404566
97	PoolSNP_2020.08.22	2R	CA_st_12_fall	North America_PoolSNP	0.00546	0.005427	-0.02907	0.365137285
98	PoolSNP_2020.08.22	3L	CA_st_12_fall	North America_PoolSNP	0.005621	0.005533	-0.072945	0.379636453
99	PoolSNP_2020.08.22	3R	CA_st_12_fall	North America_PoolSNP	0.004615	0.004553	-0.063074	0.414666694
100	PoolSNP_2020.08.22	X	CA_st_12_fall	North America_PoolSNP	0.003821	0.003822	0.002051	0.304534234
101	PoolSNP_2020.08.22	2L	CA_st_12_frost	North America_PoolSNP	0.00613	0.006117	-0.009761	0.368709459
102	PoolSNP_2020.08.22	2R	CA_st_12_frost	North America_PoolSNP	0.005535	0.00551	-0.020285	0.366481238
103	PoolSNP_2020.08.22	3L	CA_st_12_frost	North America_PoolSNP	0.005659	0.005593	-0.053177	0.381357473
104	PoolSNP_2020.08.22	3R	CA_st_12_frost	North America_PoolSNP	0.004712	0.004639	-0.071535	0.413044805
105	PoolSNP_2020.08.22	X	CA_st_12_frost	North America_PoolSNP	0.003878	0.00388	0.002616	0.314606262
106	PoolSNP_2020.08.22	2L	CA_st_13_fall	North America_PoolSNP	0.006338	0.006267	-0.046702	0.385260211
107	PoolSNP_2020.08.22	2R	CA_st_13_fall	North America_PoolSNP	0.005582	0.005566	-0.012208	0.384550466
108	PoolSNP_2020.08.22	3L	CA_st_13_fall	North America_PoolSNP	0.00569	0.005637	-0.038566	0.395126408
109	PoolSNP_2020.08.22	3R	CA_st_13_fall	North America_PoolSNP	0.004673	0.004637	-0.031691	0.433683558
110	PoolSNP_2020.08.22	X	CA_st_13_fall	North America_PoolSNP	0.003798	0.003873	0.101985	0.321158029
111	PoolSNP_2020.08.22	2L	CA_tu_12_fall	North America_PoolSNP	0.006437	0.006299	-0.099516	0.368460698
112	PoolSNP_2020.08.22	2R	CA_tu_12_fall	North America_PoolSNP	0.005539	0.005479	-0.051335	0.365088443
113	PoolSNP_2020.08.22	3L	CA_tu_12_fall	North America_PoolSNP	0.005634	0.00555	-0.069351	0.377433628
114	PoolSNP_2020.08.22	3R	CA_tu_12_fall	North America_PoolSNP	0.004842	0.004706	-0.132933	0.415345164
115	PoolSNP_2020.08.22	X	CA_tu_12_fall	North America_PoolSNP	0.003842	0.003835	-0.011479	0.311263177
116	PoolSNP_2020.08.22	2L	CA_tu_12_frost	North America_PoolSNP	0.006514	0.006412	-0.062835	0.38617358
117	PoolSNP_2020.08.22	2R	CA_tu_12_frost	North America_PoolSNP	0.005634	0.005597	-0.025751	0.385814373
118	PoolSNP_2020.08.22	3L	CA_tu_12_frost	North America_PoolSNP	0.005665	0.005611	-0.038208	0.39672703
119	PoolSNP_2020.08.22	3R	CA_tu_12_frost	North America_PoolSNP	0.004761	0.004681	-0.066579	0.430695461
120	PoolSNP_2020.08.22	X	CA_tu_12_frost	North America_PoolSNP	0.003791	0.003864	0.094755	0.317806908
121	PoolSNP_2020.08.22	2L	CA_tu_13_fall	North America_PoolSNP	0.006535	0.006442	-0.05671	0.392651143
122	PoolSNP_2020.08.22	2R	CA_tu_13_fall	North America_PoolSNP	0.005532	0.005547	0.01072	0.393394715
123	PoolSNP_2020.08.22	3L	CA_tu_13_fall	North America_PoolSNP	0.005663	0.005621	-0.029224	0.403884662
124	PoolSNP_2020.08.22	3R	CA_tu_13_fall	North America_PoolSNP	0.004959	0.00481	-0.120129	0.438585242
125	PoolSNP_2020.08.22	X	CA_tu_13_fall	North America_PoolSNP	0.003781	0.003884	0.128274	0.323039531
126	PoolSNP_2020.08.22	2L	CA_tu_13_frost	North America_PoolSNP	0.006427	0.006364	-0.043352	0.378035028
127	PoolSNP_2020.08.22	2R	CA_tu_13_frost	North America_PoolSNP	0.005573	0.005558	-0.012146	0.374045944
128	PoolSNP_2020.08.22	3L	CA_tu_13_frost	North America_PoolSNP	0.005687	0.005649	-0.029351	0.38805249
129	PoolSNP_2020.08.22	3R	CA_tu_13_frost	North America_PoolSNP	0.004804	0.004719	-0.077887	0.421479114
130	PoolSNP_2020.08.22	X	CA_tu_13_frost	North America_PoolSNP	0.003839	0.003898	0.090954	0.309812307
131	PoolSNP_2020.08.22	2L	CA_tu_13_spring	North America_PoolSNP	0.006139	0.006125	-0.009692	0.379252928
132	PoolSNP_2020.08.22	2R	CA_tu_13_spring	North America_PoolSNP	0.005476	0.005463	-0.010568	0.377227723
133	PoolSNP_2020.08.22	3L	CA_tu_13_spring	North America_PoolSNP	0.005566	0.005523	-0.033824	0.386732923
134	PoolSNP_2020.08.22	3R	CA_tu_13_spring	North America_PoolSNP	0.004634	0.004581	-0.050331	0.422489976
135	PoolSNP_2020.08.22	X	CA_tu_13_spring	North America_PoolSNP	0.003764	0.003837	0.110186	0.311235506
136	PoolSNP_2020.08.22	2L	CH_Cha_14_42	Europe_PoolSNP	0.006918	0.007212	0.194541	0.386996232
137	PoolSNP_2020.08.22	2R	CH_Cha_14_42	Europe_PoolSNP	0.005336	0.005373	0.030886	0.387185941
138	PoolSNP_2020.08.22	3L	CH_Cha_14_42	Europe_PoolSNP	0.005306	0.005365	0.051125	0.399082233
139	PoolSNP_2020.08.22	3R	CH_Cha_14_42	Europe_PoolSNP	0.005072	0.004986	-0.077073	0.440795746
140	PoolSNP_2020.08.22	X	CH_Cha_14_42	Europe_PoolSNP	0.003387	0.003514	0.219021	0.313488372
141	PoolSNP_2020.08.22	2L	CH_Cha_14_43	Europe_PoolSNP	0.00703	0.007006	-0.018059	0.39280677
142	PoolSNP_2020.08.22	2R	CH_Cha_14_43	Europe_PoolSNP	0.005324	0.005291	-0.032937	0.398467605
143	PoolSNP_2020.08.22	3L	CH_Cha_14_43	Europe_PoolSNP	0.005618	0.00553	-0.083386	0.40241912
144	PoolSNP_2020.08.22	3R	CH_Cha_14_43	Europe_PoolSNP	0.004705	0.004592	-0.125894	0.458639064
145	PoolSNP_2020.08.22	X	CH_Cha_14_43	Europe_PoolSNP	0.003558	0.003585	0.062381	0.309813298
146	PoolSNP_2020.08.22	2L	CH_Cha_15_39	Europe_PoolSNP	0.006367	0.006834	0.325061	0.387119067
147	PoolSNP_2020.08.22	2R	CH_Cha_15_39	Europe_PoolSNP	0.005008	0.005334	0.277132	0.374060196
148	PoolSNP_2020.08.22	3L	CH_Cha_15_39	Europe_PoolSNP	0.005144	0.005371	0.194877	0.397104529
149	PoolSNP_2020.08.22	3R	CH_Cha_15_39	Europe_PoolSNP	0.004578	0.004979	0.375972	0.432517232
150	PoolSNP_2020.08.22	X	CH_Cha_15_39	Europe_PoolSNP	0.00327	0.003519	0.399489	0.329314983
151	PoolSNP_2020.08.22	2L	CH_Cha_16_38	Europe_PoolSNP	0.006721	0.006991	0.179337	0.361723278
152	PoolSNP_2020.08.22	2R	CH_Cha_16_38	Europe_PoolSNP	0.005166	0.005348	0.156694	0.358690344
153	PoolSNP_2020.08.22	3L	CH_Cha_16_38	Europe_PoolSNP	0.005039	0.005169	0.115408	0.372094113
154	PoolSNP_2020.08.22	3R	CH_Cha_16_38	Europe_PoolSNP	0.004852	0.004858	0.005022	0.401722048
155	PoolSNP_2020.08.22	X	CH_Cha_16_38	Europe_PoolSNP	0.003144	0.003313	0.300047	0.306425041
156	PoolSNP_2020.08.22	2L	CO	Affrica_PoolSNP	0.006982	0.006987	0.011464	0.273099851
157	PoolSNP_2020.08.22	2R	CO	Affrica_PoolSNP	0.005888	0.005911	0.069538	0.263544402
158	PoolSNP_2020.08.22	3L	CO	Affrica_PoolSNP	0.00623	0.006258	0.082687	0.264379045
159	PoolSNP_2020.08.22	3R	CO	Affrica_PoolSNP	0.004739	0.004786	0.176669	0.293997573
160	PoolSNP_2020.08.22	X	CO	Affrica_PoolSNP	0.005362	0.005423	0.207253	0.20669529
161	PoolSNP_2020.08.22	2L	CY_Nic_14_11	Europe_PoolSNP	0.006436	0.006861	0.266577	0.387878555
162	PoolSNP_2020.08.22	2R	CY_Nic_14_11	Europe_PoolSNP	0.004867	0.005137	0.223176	0.378903868
163	PoolSNP_2020.08.22	3L	CY_Nic_14_11	Europe_PoolSNP	0.005527	0.005691	0.120257	0.388955971
164	PoolSNP_2020.08.22	3R	CY_Nic_14_11	Europe_PoolSNP	0.00485	0.00493	0.066641	0.43136382
165	PoolSNP_2020.08.22	X	CY_Nic_14_11	Europe_PoolSNP	0.003343	0.003538	0.2878	0.311827447
166	PoolSNP_2020.08.22	2L	DE_Bro_14_14	Europe_PoolSNP	0.00658	0.00652	-0.036748	0.401114257
167	PoolSNP_2020.08.22	2R	DE_Bro_14_14	Europe_PoolSNP	0.005256	0.005257	0.000684	0.397109471
168	PoolSNP_2020.08.22	3L	DE_Bro_14_14	Europe_PoolSNP	0.005206	0.005277	0.055598	0.404132085
169	PoolSNP_2020.08.22	3R	DE_Bro_14_14	Europe_PoolSNP	0.004844	0.004654	-0.158454	0.456729998
170	PoolSNP_2020.08.22	X	DE_Bro_14_14	Europe_PoolSNP	0.003454	0.00357	0.167735	0.323354933
171	PoolSNP_2020.08.22	2L	DE_Bro_14_15	Europe_PoolSNP	0.005974	0.00592	-0.039223	0.386592443
172	PoolSNP_2020.08.22	2R	DE_Bro_14_15	Europe_PoolSNP	0.005211	0.005247	0.029568	0.389471472
173	PoolSNP_2020.08.22	3L	DE_Bro_14_15	Europe_PoolSNP	0.005224	0.005277	0.043931	0.395592958
174	PoolSNP_2020.08.22	3R	DE_Bro_14_15	Europe_PoolSNP	0.004696	0.004558	-0.125741	0.445552396
175	PoolSNP_2020.08.22	X	DE_Bro_14_15	Europe_PoolSNP	0.003521	0.003594	0.116292	0.320924086
176	PoolSNP_2020.08.22	2L	DE_Bro_15_53	Europe_PoolSNP	0.006743	0.006874	0.079607	0.422088881
177	PoolSNP_2020.08.22	2R	DE_Bro_15_53	Europe_PoolSNP	0.005358	0.005395	0.02801	0.406741877
178	PoolSNP_2020.08.22	3L	DE_Bro_15_53	Europe_PoolSNP	0.005207	0.005318	0.088283	0.427994685
179	PoolSNP_2020.08.22	3R	DE_Bro_15_53	Europe_PoolSNP	0.004953	0.004737	-0.176366	0.465911099
180	PoolSNP_2020.08.22	X	DE_Bro_15_53	Europe_PoolSNP	0.003516	0.003645	0.176985	0.337462024
181	PoolSNP_2020.08.22	2L	DE_Bro_15_54	Europe_PoolSNP	0.006604	0.006605	0.000315	0.427074654
182	PoolSNP_2020.08.22	2R	DE_Bro_15_54	Europe_PoolSNP	0.005363	0.00537	0.004586	0.407363711
183	PoolSNP_2020.08.22	3L	DE_Bro_15_54	Europe_PoolSNP	0.005404	0.005403	-0.001249	0.429879069
184	PoolSNP_2020.08.22	3R	DE_Bro_15_54	Europe_PoolSNP	0.004931	0.004703	-0.183688	0.470924127
185	PoolSNP_2020.08.22	X	DE_Bro_15_54	Europe_PoolSNP	0.00354	0.003661	0.161756	0.343903342
186	PoolSNP_2020.08.22	2L	DE_Bro_16_10	Europe_PoolSNP	0.005814	0.005799	-0.01113	0.373853166
187	PoolSNP_2020.08.22	2R	DE_Bro_16_10	Europe_PoolSNP	0.005059	0.005141	0.06833	0.375937337
188	PoolSNP_2020.08.22	3L	DE_Bro_16_10	Europe_PoolSNP	0.005121	0.005197	0.062951	0.384934062
189	PoolSNP_2020.08.22	3R	DE_Bro_16_10	Europe_PoolSNP	0.004761	0.00462	-0.124901	0.426048782
190	PoolSNP_2020.08.22	X	DE_Bro_16_10	Europe_PoolSNP	0.003471	0.003565	0.140218	0.31928228
191	PoolSNP_2020.08.22	2L	DE_Bro_16_11	Europe_PoolSNP	0.006118	0.005976	-0.097597	0.380334295
192	PoolSNP_2020.08.22	2R	DE_Bro_16_11	Europe_PoolSNP	0.00522	0.005215	-0.004244	0.380459289
193	PoolSNP_2020.08.22	3L	DE_Bro_16_11	Europe_PoolSNP	0.005171	0.005208	0.030057	0.386779394
194	PoolSNP_2020.08.22	3R	DE_Bro_16_11	Europe_PoolSNP	0.004414	0.004363	-0.048809	0.430707291
195	PoolSNP_2020.08.22	X	DE_Bro_16_11	Europe_PoolSNP	0.003526	0.0036	0.10715	0.320364588
196	PoolSNP_2020.08.22	2L	DE_Mun_14_31	Europe_PoolSNP	0.006701	0.007079	0.256237	0.368493124
197	PoolSNP_2020.08.22	2R	DE_Mun_14_31	Europe_PoolSNP	0.005323	0.005544	0.187069	0.366434114
198	PoolSNP_2020.08.22	3L	DE_Mun_14_31	Europe_PoolSNP	0.005091	0.005282	0.169806	0.37558004
199	PoolSNP_2020.08.22	3R	DE_Mun_14_31	Europe_PoolSNP	0.004401	0.004453	0.053786	0.417270929
200	PoolSNP_2020.08.22	X	DE_Mun_14_31	Europe_PoolSNP	0.003492	0.003604	0.199071	0.300454437
201	PoolSNP_2020.08.22	2L	DE_Mun_14_32	Europe_PoolSNP	0.007075	0.007326	0.165659	0.392681484
202	PoolSNP_2020.08.22	2R	DE_Mun_14_32	Europe_PoolSNP	0.005568	0.005576	0.006665	0.399532174
203	PoolSNP_2020.08.22	3L	DE_Mun_14_32	Europe_PoolSNP	0.005448	0.005452	0.003106	0.403238362
204	PoolSNP_2020.08.22	3R	DE_Mun_14_32	Europe_PoolSNP	0.004682	0.004591	-0.091031	0.453425532
205	PoolSNP_2020.08.22	X	DE_Mun_14_32	Europe_PoolSNP	0.003577	0.003637	0.107588	0.313606972
206	PoolSNP_2020.08.22	2L	DE_Mun_15_45	Europe_PoolSNP	0.006813	0.007117	0.189484	0.401125354
207	PoolSNP_2020.08.22	2R	DE_Mun_15_45	Europe_PoolSNP	0.005312	0.00539	0.061216	0.394109029
208	PoolSNP_2020.08.22	3L	DE_Mun_15_45	Europe_PoolSNP	0.005311	0.005406	0.076219	0.411863924
209	PoolSNP_2020.08.22	3R	DE_Mun_15_45	Europe_PoolSNP	0.004855	0.004748	-0.09226	0.448152228
210	PoolSNP_2020.08.22	X	DE_Mun_15_45	Europe_PoolSNP	0.00354	0.003668	0.188943	0.319381498
211	PoolSNP_2020.08.22	2L	DE_Mun_15_46	Europe_PoolSNP	0.006353	0.006458	0.068235	0.413208475
212	PoolSNP_2020.08.22	2R	DE_Mun_15_46	Europe_PoolSNP	0.005359	0.00555	0.144815	0.403842265
213	PoolSNP_2020.08.22	3L	DE_Mun_15_46	Europe_PoolSNP	0.005184	0.005358	0.137996	0.419459268
214	PoolSNP_2020.08.22	3R	DE_Mun_15_46	Europe_PoolSNP	0.004735	0.004663	-0.061208	0.452575596
215	PoolSNP_2020.08.22	X	DE_Mun_15_46	Europe_PoolSNP	0.003547	0.003687	0.194756	0.336721612
216	PoolSNP_2020.08.22	2L	DE_Mun_16_12	Europe_PoolSNP	0.006322	0.006344	0.014522	0.369993549
217	PoolSNP_2020.08.22	2R	DE_Mun_16_12	Europe_PoolSNP	0.005378	0.005514	0.106097	0.370764225
218	PoolSNP_2020.08.22	3L	DE_Mun_16_12	Europe_PoolSNP	0.004972	0.005181	0.177275	0.377866131
219	PoolSNP_2020.08.22	3R	DE_Mun_16_12	Europe_PoolSNP	0.004435	0.004457	0.021174	0.416229978
220	PoolSNP_2020.08.22	X	DE_Mun_16_12	Europe_PoolSNP	0.003453	0.003569	0.172579	0.317207403
221	PoolSNP_2020.08.22	2L	DE_Mun_16_13	Europe_PoolSNP	0.006718	0.006823	0.065135	0.380666331
222	PoolSNP_2020.08.22	2R	DE_Mun_16_13	Europe_PoolSNP	0.005439	0.005414	-0.019211	0.384183883
223	PoolSNP_2020.08.22	3L	DE_Mun_16_13	Europe_PoolSNP	0.005303	0.005315	0.009809	0.385291816
224	PoolSNP_2020.08.22	3R	DE_Mun_16_13	Europe_PoolSNP	0.004625	0.004543	-0.073818	0.431343071
225	PoolSNP_2020.08.22	X	DE_Mun_16_13	Europe_PoolSNP	0.003548	0.003631	0.116419	0.319055834
226	PoolSNP_2020.08.22	2L	DK_Kar_14_39	Europe_PoolSNP	0.005999	0.005977	-0.016748	0.393599967
227	PoolSNP_2020.08.22	2R	DK_Kar_14_39	Europe_PoolSNP	0.005379	0.005399	0.01716	0.399555085
228	PoolSNP_2020.08.22	3L	DK_Kar_14_39	Europe_PoolSNP	0.005264	0.005343	0.06857	0.402293801
229	PoolSNP_2020.08.22	3R	DK_Kar_14_39	Europe_PoolSNP	0.004437	0.004441	0.004055	0.460374607
230	PoolSNP_2020.08.22	X	DK_Kar_14_39	Europe_PoolSNP	0.003609	0.003683	0.125958	0.310024583
231	PoolSNP_2020.08.22	2L	DK_Kar_14_41	Europe_PoolSNP	0.005917	0.005917	-0.0003	0.38895023
